artist,album,date,week_num,meta_score,user_score
Ry Cooder,Pull Up Some Dust and Sit Down,"August 29, 2011",35,92,69
Saigon,The Greatest Story Never Told,"February 15, 2011",7,89,83
Phonte,Charity Starts at Home,"September 27, 2011",39,88,79
Tom Waits,Bad as Me,"October 25, 2011",43,88,79
The Roots,Undun,"December 6, 2011",49,88,87
Thursday,No Devolucion,"April 12, 2011",15,88,86
9th Wonder,The Wonder Years,"September 27, 2011",39,87,70
Wolves in the Throne Room,Celestial Lineage,"September 13, 2011",37,87,83
The Weeknd,House of Balloons,"March 21, 2011",12,87,90
PJ Harvey,Let England Shake,"February 15, 2011",7,86,86
tUnE-yArDs,Who Kill,"April 19, 2011",16,86,81
Bon Iver,Bon Iver,"June 21, 2011",25,86,86
Mara Carlyle,Floreat,"August 30, 2011",35,86,0
Nicolas Jaar,Space Is Only Noise,"January 28, 2011",4,86,85
Raphael Saadiq,Stone Rollin',"May 10, 2011",19,86,82
Russian Circles,Empros,"October 25, 2011",43,86,86
Tim Hecker,"Ravedeath, 1972","February 15, 2011",7,86,84
Fucked Up,David Comes To Life,"June 7, 2011",23,86,79
Ambrose Akinmusire,When the Heart Emerges Glistening,"April 5, 2011",14,85,0
Kate Bush,50 Words for Snow,"November 21, 2011",47,85,85
Iceage,New Brigade,"June 21, 2011",25,85,82
Paul Simon,So Beautiful or So What,"April 12, 2011",15,85,82
Fleet Foxes,Helplessness Blues,"May 3, 2011",18,85,89
Wild Beasts,Smother,"May 10, 2011",19,85,84
St. Vincent,Strange Mercy,"September 13, 2011",37,85,89
Gillian Welch,The  Harrow and the Harvest,"June 28, 2011",26,85,77
Astronautalis,This Is Our Science,"September 13, 2011",37,85,81
Destroyer,Kaputt,"January 25, 2011",4,84,88
Lydia Loveless,Indestructible Machine,"September 13, 2011",37,84,0
Pistol Annies,Hell On Heels,"August 23, 2011",34,84,88
Joe Lovano Us Five,Bird Songs,"January 11, 2011",2,84,0
Dave Alvin,Eleven Eleven,"June 20, 2011",25,84,0
True Widow,A.H.A.T.H.H.A.F.T.C.T.T.C.O.T.E.,"March 29, 2011",13,84,0
The Office of Future Plans,The  Office of Future Plans,"November 21, 2011",47,84,0
The Black Keys,El Camino,"December 6, 2011",49,84,85
Shackleton,Pinch & Shackleton,"December 6, 2011",49,84,0
Johann Johannsson,The Miner's Hymns,"May 24, 2011",21,84,0
Delicate Steve,Wondervisions,"January 25, 2011",4,84,87
Thee Oh Sees,Carrion Crawler/The Dream,"November 8, 2011",45,83,85
Frank Ocean,"Nostalgia, Ultra.","February 18, 2011",7,83,87
The Field,Looping State of Mind,"October 11, 2011",41,83,85
Beastie Boys,"Hot Sauce Committee, Pt. 2","May 3, 2011",18,83,82
The Horrors,Skying,"August 9, 2011",32,83,81
Gang Gang Dance,Eye Contact,"May 10, 2011",19,83,83
Diamond Rings,Special Affections,"June 21, 2011",25,83,77
Lykke Li,Wounded Rhymes,"March 1, 2011",9,83,89
Demdike Stare,Tryptych,"January 31, 2011",5,83,67
Megafaun,Megafaun,"September 20, 2011",38,83,0
Mastodon,The Hunter,"September 27, 2011",39,83,85
A Winged Victory for the Sullen,A Winged Victory for the Sullen,"September 13, 2011",37,83,0
Black Joe Lewis & the Honeybears,Scandalous,"March 15, 2011",11,83,86
Wild Flag,Wild Flag,"September 13, 2011",37,83,83
Jamie xx,We're New Here,"February 22, 2011",8,83,82
Miranda Lambert,Four the Record,"November 1, 2011",44,83,85
Kuedo,Severant,"October 17, 2011",42,83,82
