artist,album,date,week_num,meta_score,user_score
Fiona Apple,Fetch the Bolt Cutters,"April 17, 2020",16,98,80
Bob Dylan,Rough and Rowdy Ways,"June 19, 2020",25,95,76
Perfume Genius,Set My Heart on Fire Immediately,"May 15, 2020",20,91,85
Creeper,"Sex, Death & The Infinite Void","July 31, 2020",31,91,79
Phoebe Bridgers,Punisher,"June 18, 2020",25,90,88
Pa Salieu,Send Them To Coventry [Mixtape],"November 13, 2020",46,90,0
Moses Sumney,græ,"May 15, 2020",20,90,84
Run the Jewels,RTJ4,"June 3, 2020",23,89,89
Rina Sawayama,Sawayama,"April 17, 2020",16,89,91
BC Camplight,Shortly After Takeoff,"April 24, 2020",17,89,81
HAIM,"Women in Music, Pt. III","June 26, 2020",26,89,86
Gil Scott-Heron,We're New Again: A Reimagining by Makaya McCraven,"February 7, 2020",6,89,80
Taylor Swift,Folklore,"July 24, 2020",30,88,92
Laura Marling,Song for Our Daughter,"April 10, 2020",15,88,86
Dua Lipa,Future Nostalgia,"March 27, 2020",13,88,88
Waxahatchee,Saint Cloud,"March 27, 2020",13,88,78
Yves Tumor,Heaven to a Tortured Mind,"April 3, 2020",14,88,82
Freddie Gibbs,Alfredo,"May 29, 2020",22,88,86
Bruce Springsteen,Letter to You,"October 23, 2020",43,88,84
Neil Young,Homegrown,"June 19, 2020",25,88,78
Mystery Jets,A Billion Heartbeats,"April 3, 2020",14,87,84
The Microphones,Microphones in 2020,"August 7, 2020",32,87,84
Crack Cloud,Pain Olympics,"July 17, 2020",29,87,82
Beatrice Dillon,Workaround,"February 7, 2020",6,87,69
Headie One,Edna,"October 9, 2020",41,87,82
Deftones,Ohms,"September 25, 2020",39,87,89
The Soft Pink Truth,Shall We Go on Sinning So That Grace May Increase?,"May 1, 2020",18,87,78
Fleet Foxes,Shore,"September 22, 2020",39,87,88
PVRIS,Use Me,"August 28, 2020",35,87,82
Róisín Murphy,Róisín Machine,"October 2, 2020",40,86,91
Baxter Dury,The Night Chancers,"March 20, 2020",12,86,86
J Hus,Big Conspiracy,"January 24, 2020",4,86,76
Shirley Collins,Heart's Ease,"July 24, 2020",30,86,0
Porridge Radio,Every Bad,"March 13, 2020",11,86,81
Jarv Is...,Beyond the Pale,"July 17, 2020",29,86,78
This Is the Kit,Off Off On,"October 23, 2020",43,86,0
Frazey Ford,U Kin B The Sun,"February 7, 2020",6,86,80
Napalm Death,Throes of Joy in the Jaws of Defeatism,"September 18, 2020",38,86,0
Nadine Shah,Kitchen Sink,"June 26, 2020",26,86,71
Owen Pallett,Island,"May 22, 2020",21,86,79
The Avalanches,We Will Always Love You,"December 11, 2020",50,86,90
Bill Callahan,Gold Record,"September 4, 2020",36,86,81
The James Hunter Six,Nick of Time,"March 6, 2020",10,85,86
Mary Lattimore,Silver Ladders,"October 9, 2020",41,85,85
