artist,album,date,week_num,meta_score,user_score
Deafheaven,Sunbather,"June 11, 2013",24,92,85
Bassekou Kouyate & Ngoni Ba,Jama Ko,"April 2, 2013",14,90,63
Nils Frahm,Spaces,"November 19, 2013",47,90,85
Ashley Monroe,Like a Rose,"March 5, 2013",10,89,71
Russian Circles,Memorial,"October 29, 2013",44,88,84
Julia Holter,Loud City Song,"August 20, 2013",34,88,85
Kacey Musgraves,Same Trailer Different Park,"March 19, 2013",12,88,87
John Murry,The Graceless Age,"April 9, 2013",15,88,85
My Bloody Valentine,M B V,"February 2, 2013",5,87,83
Jason Isbell,Southeastern,"June 11, 2013",24,87,85
Tim Hecker,Virgins,"October 15, 2013",42,87,85
Daft Punk,Random Access Memories,"May 21, 2013",21,87,84
Pistol Annies,Annie Up,"May 7, 2013",19,87,49
Touché Amoré,Is Survived By,"September 24, 2013",39,87,83
Jenny Hval,Innocence is Kinky,"May 14, 2013",20,87,85
Rokia Traoré,Beautiful Africa,"April 8, 2013",15,87,82
Robbie Fulks,Gone Away Backward,"August 27, 2013",35,87,44
British Sea Power,From the Sea to the Land Beyond [OST],"December 2, 2013",49,86,85
Letlive,The  Blackest Beautiful,"July 9, 2013",28,86,86
The James Hunter Six,Minute by Minute,"February 26, 2013",9,86,78
Wayne Shorter,Without a Net,"February 5, 2013",6,86,56
Killer Mike,Run the Jewels,"June 26, 2013",26,86,86
Laura Marling,Once I Was an Eagle,"May 28, 2013",22,86,86
The Mavericks,In Time,"February 26, 2013",9,86,80
Chance the Rapper,Acid Rap,"April 30, 2013",18,86,87
Hiss Golden Messenger,Haw,"April 2, 2013",14,86,83
The Knife,Shaking the Habitual,"April 9, 2013",15,85,84
William Tyler,Impossible Truth,"March 19, 2013",12,85,72
Guy Clark,My Favorite Picture of You,"July 23, 2013",30,85,86
Patty Griffin,American Kid,"May 7, 2013",19,85,81
Phosphorescent,Muchacho,"March 19, 2013",12,85,81
Norma Jean,Wrongdoers,"August 6, 2013",32,85,84
Cult of Luna,Vertikal,"January 29, 2013",5,85,79
Boards of Canada,Tomorrow's Harvest,"June 11, 2013",24,85,85
Beyoncé,Beyoncé,"December 13, 2013",50,85,83
Parquet Courts,Light Up Gold,"January 15, 2013",3,84,83
Mutual Benefit,Love's Crushing Diamond,"December 3, 2013",49,84,85
Various Artists,Divided & United: Songs of the Civil War,"November 5, 2013",45,84,0
Coliseum,Sister Faith,"April 30, 2013",18,84,0
The National,Trouble Will Find Me,"May 21, 2013",21,84,87
The Haxan Cloak,Excavation,"April 16, 2013",16,84,86
Kanye West,Yeezus,"June 18, 2013",25,84,76
Mikal Cronin,MCII,"May 7, 2013",19,84,84
Bombino,Nomad,"April 2, 2013",14,84,71
Neko Case,"The  Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You","September 3, 2013",36,84,81
Pet Shop Boys,Electric,"July 16, 2013",29,84,83
Vampire Weekend,Modern Vampires of the City,"May 14, 2013",20,84,89
Bill Callahan,Dream River,"September 17, 2013",38,84,82
Roy Harper,Man and Myth,"September 23, 2013",39,84,0
Kvelertak,Meir,"March 26, 2013",13,84,81
Voivod,Target Earth,"January 22, 2013",4,84,72
Danny Brown,Old,"October 8, 2013",41,83,83
Superchunk,I Hate Music,"August 20, 2013",34,83,80
Patty Griffin,Silver Bell,"October 8, 2013",41,83,74
DJ Koze,Amygdala,"April 2, 2013",14,83,80
Wolf Eyes,No Answer: Lower Floors,"April 9, 2013",15,83,0
Thundercat,Apocalypse,"July 9, 2013",28,83,83
Mountains,Centralia,"January 22, 2013",4,83,72
Tamikrest,Chatma,"October 1, 2013",40,83,0
True Widow,Circumambulation,"July 23, 2013",30,83,74
The Icarus Line,Slave Vows,"August 6, 2013",32,83,68
Future of the Left,How to Stop Your Brain in an Accident,"October 21, 2013",43,83,83
Daniel Avery,Drone Logic,"October 7, 2013",41,83,84
Kevin Devine,Bubblegum,"October 15, 2013",42,82,0
Josephine Foster,I'm a Dreamer,"November 12, 2013",46,82,83
Janelle Monáe,The  Electric Lady,"September 10, 2013",37,82,88
Queens of the Stone Age,...Like Clockwork,"June 4, 2013",23,82,88
All Pigs Must Die,Nothing Violates This Nature,"July 23, 2013",30,82,0
Thee Oh Sees,Floating Coffin,"April 16, 2013",16,82,85
Jon Hopkins,Immunity,"June 4, 2013",23,82,86
Bilal,A Love Surreal,"February 26, 2013",9,82,85
Yo La Tengo,Fade,"January 15, 2013",3,82,81
Lady Lamb the Beekeeper,Ripely Pine,"February 19, 2013",8,82,88
Earl Sweatshirt,Doris,"August 20, 2013",34,82,84
John Grant,Pale Green Ghosts,"May 14, 2013",20,82,85
Pissed Jeans,Honeys,"February 12, 2013",7,82,81
Steve Gunn,Time Off,"June 18, 2013",25,82,0
Savages,Silence Yourself,"May 7, 2013",19,82,85
James Blake,Overgrown,"April 9, 2013",15,82,86
Kurt Vile,Wakin on a Pretty Daze,"April 9, 2013",15,82,86
65daysofstatic,Wild Light,"October 29, 2013",44,82,77
Barrence Whitfield & the Savages,Dig Thy Savage Soul,"August 13, 2013",33,82,0
Chelsea Wolfe,Pain Is Beauty,"September 3, 2013",36,82,88
Califone,Stitches,"September 3, 2013",36,82,80
Bring Me the Horizon,Sempiternal,"April 2, 2013",14,81,81
Alela Diane,About Farewell,"July 30, 2013",31,81,83
David Bowie,The Next Day,"March 12, 2013",11,81,81
Polvo,Siberia,"October 1, 2013",40,81,0
John Wizards,John Wizards,"September 3, 2013",36,81,88
Arctic Monkeys,AM,"September 10, 2013",37,81,86
Disclosure,Settle,"June 4, 2013",23,81,85
James Holden,The Inheritors,"June 17, 2013",25,81,77
Mount Kimbie,Cold Spring Fault Less Youth,"May 28, 2013",22,81,82
Tal National,Kaani,"September 10, 2013",37,81,0
Oneohtrix Point Never,R Plus Seven,"September 30, 2013",40,81,85
Nick Cave & the Bad Seeds,Push the Sky Away,"February 19, 2013",8,81,84
Owen,L'Ami du Peuple,"July 2, 2013",27,81,74
Valerie June,Pushin' Against a Stone,"August 13, 2013",33,81,83
Grouper,The  Man Who Died in His Boat,"February 5, 2013",6,81,81
Paramore,Paramore,"April 9, 2013",15,81,85
Deerhunter,Monomania,"May 7, 2013",19,81,82
Dave Hause,Devour,"October 8, 2013",41,81,0
Defeater,Letters Home,"July 16, 2013",29,81,89
Torres,Torres,"January 22, 2013",4,81,84
Dawn Richard,Goldenheart,"January 22, 2013",4,81,81
Uncle Acid and the Deadbeats,Mind Control,"May 14, 2013",20,81,84
Prefab Sprout,Crimson/Red,"October 7, 2013",41,81,81
Colin Stetson,"New History Warfare, Vol. 3: To See More Light","April 30, 2013",18,81,81
Speedy Ortiz,Major Arcana,"July 9, 2013",28,81,76
Ariana Grande,Yours Truly,"September 3, 2013",36,81,81
Pusha T,My Name Is My Name,"October 7, 2013",41,81,82
Forest Swords,Engravings,"September 17, 2013",38,81,79
Alasdair Roberts,A Wonder Working Stone,"January 22, 2013",4,81,0
Charles Bradley,Victim of Love,"April 2, 2013",14,81,75
Eluvium,Nightmare Ending,"May 14, 2013",20,81,0
Melt Yourself Down,Melt Yourself Down,"June 25, 2013",26,80,80
Sigur Rós,Kveikur,"June 18, 2013",25,80,86
Teeth of the Sea,Master,"October 7, 2013",41,80,67
Dead in the Dirt,The  Blind Hole,"August 6, 2013",32,80,0
Ex Cops,True Hallucinations,"January 22, 2013",4,80,65
Grant Hart,The  Argument,"July 23, 2013",30,80,0
Suede,Bloodsports,"March 19, 2013",12,80,86
Mavis Staples,One True Vine,"June 25, 2013",26,80,82
Serengeti,Kenny Dennis LP,"June 25, 2013",26,80,0
Moonface,Julia with Blue Jeans On,"October 29, 2013",44,80,82
Melt Banana,Fetch,"October 1, 2013",40,80,87
Tony Joe White,Hoodoo,"September 16, 2013",38,80,0
Blondes,Swisher,"August 6, 2013",32,80,73
Juana Molina,Wed 21,"October 29, 2013",44,80,88
Various Artists,Reason to Believe: The Songs of Tim Hardin,"February 26, 2013",9,80,0
Iceage,You're Nothing,"February 19, 2013",8,80,77
The Field,Cupid's Head,"October 1, 2013",40,80,78
Arcade Fire,Reflektor,"October 29, 2013",44,80,87
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,"January 22, 2013",4,80,86
Laura Veirs,Warp & Weft,"August 20, 2013",34,80,79
Milk Music,Cruise Your Illusion,"April 2, 2013",14,80,0
Chvrches,The Bones of What You Believe,"September 24, 2013",39,80,88
