artist,album,date,week_num,meta_score,user_score
Nick Cave & the Bad Seeds,Skeleton Tree,"September 9, 2016",36,95,83
Beyoncé,Lemonade,"April 23, 2016",16,92,80
Leonard Cohen,You Want It Darker,"October 21, 2016",42,92,84
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,"November 11, 2016",45,91,88
Chance the Rapper,Coloring Book [Mixtape],"May 13, 2016",19,89,83
Solange,A Seat at the Table,"September 30, 2016",39,89,84
Drive-By Truckers,American Band,"September 30, 2016",39,88,80
Radiohead,A Moon Shaped Pool,"May 8, 2016",18,88,89
Run the Jewels,Run the Jewels 3,"December 25, 2016",51,88,88
Common,Black America Again,"November 4, 2016",44,88,73
Robbie Fulks,Upland Stories,"April 1, 2016",13,87,42
David Bowie,Blackstar,"January 8, 2016",1,87,89
Angel Olsen,My Woman,"September 2, 2016",35,87,85
Frank Ocean,Blonde,"August 20, 2016",33,87,89
Mitski,Puberty 2,"June 17, 2016",24,87,87
NAILS,You Will Never Be One of Us,"June 17, 2016",24,87,66
Bon Iver,"22, A Million","September 30, 2016",39,87,84
Ital Tek,Hollowed,"March 18, 2016",11,86,80
Sturgill Simpson,A Sailor's Guide to Earth,"April 15, 2016",15,86,81
Michael Kiwanuka,Love & Hate,"July 15, 2016",28,86,85
Maxwell,blackSUMMERS'night (2016),"July 1, 2016",26,86,84
Ian William Craig,Centres,"July 8, 2016",27,86,75
Car Seat Headrest,Teens of Denial,"May 20, 2016",20,86,84
The Dillinger Escape Plan,Dissociation,"October 14, 2016",41,86,81
Margo Price,Midwest Farmer's Daughter,"March 25, 2016",12,86,79
William Bell,This Is Where I Live,"June 3, 2016",22,86,82
Teho Teardo,Nerissimo,"April 22, 2016",16,86,72
Kendrick Lamar,untitled unmastered.,"March 4, 2016",9,86,83
Paul Simon,Stranger to Stranger,"June 3, 2016",22,85,80
Neurosis,Fires Within Fires,"September 23, 2016",38,85,73
Anderson .Paak,Malibu,"January 15, 2016",2,85,86
Danny Brown,Atrocity Exhibition,"September 27, 2016",39,85,87
The Hotelier,Goodness,"May 27, 2016",21,85,78
Aesop Rock,The Impossible Kid,"April 29, 2016",17,85,86
John K. Samson,Winter Wheat,"October 21, 2016",42,85,83
Kevin Morby,Singing Saw,"April 15, 2016",15,84,80
Kate Bush,Before the Dawn [Live],"December 2, 2016",48,84,85
Esperanza Spalding,Emily's D+Evolution,"March 4, 2016",9,84,78
Nels Cline,Lovers,"August 5, 2016",31,84,72
Loretta Lynn,Full Circle,"March 4, 2016",9,84,75
Kate Tempest,Let Them Eat Chaos,"October 7, 2016",40,84,79
Touché Amoré,Stage Four,"September 16, 2016",37,84,82
Virginia Wing,Forward Constant Motion,"November 11, 2016",45,84,0
Pinegrove,Cardinal,"February 12, 2016",6,84,81
Jenny Hval,Blood Bitch,"September 30, 2016",39,84,80
BJ the Chicago Kid,In My Mind,"February 19, 2016",7,84,73
Karl Blau,Introducing Karl Blau,"May 13, 2016",19,84,66
Anna Meredith,Varmints,"March 4, 2016",9,84,77
Little Simz,Stillness In Wonderland,"December 16, 2016",50,84,84
Helen Money,Become Zero,"September 16, 2016",37,84,0
Moodymann,DJ-Kicks,"February 19, 2016",7,83,78
Lambchop,FLOTUS,"November 4, 2016",44,83,81
