artist,album,date,week_num,meta_score,user_score
Kendrick Lamar,DAMN.,"April 14, 2017",15,95,84
Mount Eerie,A Crow Looked at Me,"March 24, 2017",12,93,80
Lorde,Melodrama,"June 16, 2017",24,91,89
Converge,The Dusk in Us,"November 3, 2017",44,89,76
Creeper,"Eternity, In Your Arms","March 24, 2017",12,89,77
Jlin,Black Origami,"May 19, 2017",20,89,71
Vince Staples,Big Fish Theory,"June 23, 2017",25,89,83
Valerie June,The  Order of Time,"March 10, 2017",10,89,79
St. Vincent,Masseduction,"October 13, 2017",41,88,88
Brand New,Science Fiction,"August 19, 2017",33,88,84
Fever Ray,Plunge,"October 27, 2017",43,87,77
Rapsody,Laila’s Wisdom,"September 22, 2017",38,87,82
Oxbow,The Thin Black Duke,"May 5, 2017",18,87,79
Charly Bliss,Guppy,"April 21, 2017",16,87,79
Arca,Arca,"April 7, 2017",14,87,82
Circuit des Yeux,Reaching for Indigo,"October 20, 2017",42,87,82
The Horrors,V,"September 22, 2017",38,87,82
SZA,CTRL,"June 9, 2017",23,86,88
Power Trip,Nightmare Logic,"February 24, 2017",8,86,77
Vijay Iyer,Far from Over,"August 25, 2017",34,86,0
The Replacements,For Sale: Live at Maxwell's 1986,"October 6, 2017",40,86,80
Four Tet,New Energy,"September 29, 2017",39,86,82
Gas,Narkopop,"April 21, 2017",16,86,78
Sampha,Process,"February 3, 2017",5,86,81
Magnetic Fields,50 Song Memoir,"March 10, 2017",10,86,76
Paul Weller,A Kind Revolution,"May 12, 2017",19,86,78
Tinariwen,Elwan,"February 10, 2017",6,86,78
Rodney Crowell,Close Ties,"March 31, 2017",13,86,79
Sharon Jones & the Dap-Kings,Soul of a Woman,"November 17, 2017",46,86,82
LCD Soundsystem,American Dream,"September 1, 2017",35,86,84
PVRIS,"All We Know of Heaven, All We Need of Hell","August 25, 2017",34,86,82
Algiers,The Underside of Power,"June 23, 2017",25,86,79
Bedouine,Bedouine,"June 23, 2017",25,85,71
Protomartyr,Relatives in Descent,"September 29, 2017",39,85,80
The National,Sleep Well Beast,"September 8, 2017",36,85,85
The xx,I See You,"January 13, 2017",2,85,81
Moses Sumney,Aromanticism,"September 22, 2017",38,85,82
The Moonlandingz,Interplanetary Class Classics,"March 24, 2017",12,85,70
Laura Marling,Semper Femina,"March 10, 2017",10,85,80
The Weather Station,The Weather Station,"October 6, 2017",40,85,67
Father John Misty,Pure Comedy,"April 7, 2017",14,85,79
Ryuichi Sakamoto,async,"April 28, 2017",17,85,77
Pwr Bttm,Pageant,"May 12, 2017",19,85,55
Young Thug,Beautiful Thugger Girls,"June 16, 2017",24,84,78
Aimee Mann,Mental Illness,"March 31, 2017",13,84,78
Godflesh,Post Self,"November 17, 2017",46,84,0
Karine Polwart,A Pocket of Wind Resistance,"November 17, 2017",46,84,0
"Tyler, The Creator",Flower Boy,"July 21, 2017",29,84,88
