artist,album,date,week_num,meta_score,user_score
Nick Cave & the Bad Seeds,Ghosteen,"October 4, 2019",40,96,86
Weyes Blood,Titanic Rising,"April 5, 2019",14,91,90
Little Simz,Grey Area,"March 1, 2019",9,91,83
Baroness,Gold & Grey,"June 14, 2019",24,91,74
Raphael Saadiq,Jimmy Lee,"August 23, 2019",34,90,58
Rapsody,Eve,"August 23, 2019",34,90,81
Dave,Psychodrama,"March 8, 2019",10,90,80
Michael Kiwanuka,Kiwanuka,"November 1, 2019",44,89,84
Jamila Woods,LEGACY! LEGACY!,"May 10, 2019",19,89,80
Angel Olsen,All Mirrors,"October 4, 2019",40,89,77
Solange,When I Get Home,"March 1, 2019",9,89,75
Slipknot,We Are Not Your Kind,"August 9, 2019",32,89,85
Refused,War Music,"October 18, 2019",42,88,85
Lingua Ignota,Caligula,"July 19, 2019",29,88,80
Aldous Harding,Designer,"April 26, 2019",17,88,83
FKA twigs,Magdalene,"November 8, 2019",45,88,89
Brittany Howard,Jaime,"September 20, 2019",38,88,79
Freddie Gibbs,Bandana,"June 28, 2019",26,88,86
Bill Callahan,Shepherd in a Sheepskin Vest,"June 14, 2019",24,88,74
Big Thief,U.F.O.F.,"May 3, 2019",18,87,86
Cate Le Bon,Reward,"May 24, 2019",21,87,80
Purple Mountains,Purple Mountains,"July 12, 2019",28,87,79
Lana Del Rey,Norman Fucking Rockwell!,"August 30, 2019",35,87,92
Sharon Van Etten,Remind Me Tomorrow,"January 18, 2019",3,86,81
Ariana Grande,"thank u, next","February 8, 2019",6,86,74
Bobby Krlic,Midsommar [Original Motion Picture Soundtrack],"July 5, 2019",27,86,83
(Sandy) Alex G,House of Sugar,"September 13, 2019",37,86,87
Fontaines D.C.,Dogrel,"April 12, 2019",15,86,82
Chai,Punk,"March 15, 2019",11,86,72
Rhiannon Giddens,There is No Other,"May 3, 2019",18,86,78
Edwyn Collins,Badbea,"March 29, 2019",13,85,0
PUP,Morbid Stuff,"April 5, 2019",14,85,83
Denzel Curry,ZUU,"May 31, 2019",22,85,80
JPEGMAFIA,All My Heroes Are Cornballs,"September 13, 2019",37,85,86
Yola,Walk Through Fire,"February 22, 2019",8,85,83
Bedouine,Bird Songs of a Killjoy,"June 21, 2019",25,85,69
Tinariwen,Amadjar,"September 6, 2019",36,85,77
Sunn O))),Life Metal,"April 19, 2019",16,85,74
Opeth,In Cauda Venenum,"September 27, 2019",39,85,88
Mannequin Pussy,Patience,"June 21, 2019",25,85,79
Big Thief,Two Hands,"October 11, 2019",41,85,84
Nilüfer Yanya,Miss Universe,"March 22, 2019",12,85,83
Jenny Lewis,On the Line,"March 22, 2019",12,85,84
Bring Me the Horizon,Amo,"January 25, 2019",4,85,75
Julia Jacklin,Crushing,"February 22, 2019",8,85,82
Marika Hackman,Any Human Friend,"August 9, 2019",32,84,75
Vanishing Twin,The Age of Immunology,"June 7, 2019",23,84,0
The Twilight Sad,It Won't Be Like This All the Time,"January 18, 2019",3,84,81
Teebs,Anicca,"October 25, 2019",43,84,83
Sleaford Mods,Eton Alive,"February 22, 2019",8,84,72
Spellling,Mazy Fly,"February 22, 2019",8,84,73
The Muffs,No Holiday,"October 18, 2019",42,84,0
Elbow,Giants of All Sizes,"October 11, 2019",41,84,77
The Delines,The Imperial,"January 11, 2019",2,84,74
Jenny Hval,The Practice of Love,"September 13, 2019",37,84,80
Inter Arma,Sulphur English,"April 12, 2019",15,84,0
Kate Tempest,The Book Of Traps and Lessons,"June 14, 2019",24,84,82
Mega Bog,Dolphine,"June 28, 2019",26,84,86
Bruce Springsteen,Western Stars,"June 14, 2019",24,84,71
Devin Townsend,Empath,"March 29, 2019",13,84,85
Beth Gibbons,"Henryk Górecki: Symphony No. 3 ""Symphony of Sorrowful Songs"" [Live]","March 29, 2019",13,84,79
Jessica Pratt,Quiet Signs,"February 8, 2019",6,84,77
Thom Yorke,ANIMA,"June 27, 2019",26,84,88
Leonard Cohen,Thanks for the Dance,"November 22, 2019",47,84,76
Lizzo,Cuz I Love You,"April 19, 2019",16,84,76
Peter Perrett,Humanworld,"June 7, 2019",23,84,0
Sudan Archives,Athena,"November 1, 2019",44,83,76
Danny Brown,uknowhatimsayin¿,"October 4, 2019",40,83,83
The Comet Is Coming,Trust in the Lifeforce of the Deep Mystery,"March 15, 2019",11,83,81
Joan Shelley,Like the River Loves the Sea,"August 30, 2019",35,83,71
Hovvdy,Heavy Lifter,"October 18, 2019",42,83,0
Tanya Tucker,While I'm Livin',"August 23, 2019",34,83,88
Mekons,Deserted,"March 29, 2019",13,83,0
Sampa the Great,The Return,"September 13, 2019",37,83,78
Pharmakon,Devour,"August 30, 2019",35,83,75
Hand Habits,Placeholder,"March 1, 2019",9,83,75
Jayda G,Significant Changes,"March 22, 2019",12,83,0
The Comet Is Coming,The Afterlife,"December 6, 2019",49,83,63
Hot Chip,A Bath Full of Ecstasy,"June 21, 2019",25,83,77
Bassekou Kouyate & Ngoni Ba,Miri,"February 1, 2019",5,83,0
Shura,Forevher,"August 16, 2019",33,83,85
Kim Petras,Clarity,"June 28, 2019",26,83,87
Black Belt Eagle Scout,At the Party with My Brown Friends,"August 30, 2019",35,82,71
Common Holly,When I Say to You Black Lightning,"October 11, 2019",41,82,0
Caroline Polachek,Pang,"October 18, 2019",42,82,90
Boogie,Everything's For Sale,"January 25, 2019",4,82,84
Billie Eilish,"When We All Fall Asleep, Where Do We Go?","March 29, 2019",13,82,73
MUNA,Saves the World,"September 6, 2019",36,82,86
Robert Ellis,Texas Piano Man,"February 14, 2019",7,82,0
Octo Octa,Resonant Body,"September 6, 2019",36,82,68
Jesca Hoop,Stonechild,"July 5, 2019",27,82,78
"Bonnie ""Prince"" Billy",I Made a Place,"November 15, 2019",46,82,77
The Murder Capital,When I Have Fears,"August 16, 2019",33,82,82
slowthai,Nothing Great About Britain,"May 17, 2019",20,82,82
Plaid,Polymer,"June 7, 2019",23,82,64
Jay Som,Anak Ko,"August 23, 2019",34,82,82
Mavis Staples,We Get By,"May 24, 2019",21,82,71
Rammstein,Rammstein,"May 17, 2019",20,82,86
Stef Chura,Midnight,"June 7, 2019",23,82,0
Kevin Richard Martin,Sirens,"June 7, 2019",23,82,0
The Japanese House,Good at Falling,"March 1, 2019",9,82,85
Modern Nature,How to Live,"August 23, 2019",34,82,0
75 Dollar Bill,I Was Real,"June 28, 2019",26,82,0
Moor Mother,Analog Fluids of Sonic Black Holes,"November 8, 2019",45,82,0
Stormzy,Heavy is the Head,"December 13, 2019",50,82,77
Avey Tare,Cows on Hourglass Pond,"March 22, 2019",12,82,81
Richard Dawson,2020,"October 11, 2019",41,82,84
Vagabon,Vagabon,"October 18, 2019",42,82,85
Lambchop,This (Is What I Wanted to Tell You),"March 22, 2019",12,82,74
A Winged Victory for the Sullen,The Undivided Five,"November 1, 2019",44,82,0
Bill Orcutt,Odds Against Tomorrow,"October 11, 2019",41,82,0
Idles,A Beautiful Thing: Idles Live at Le Bataclan,"December 6, 2019",49,82,75
Kaytranada,Bubba,"December 13, 2019",50,82,85
Blood Red Shoes,Get Tragic,"January 25, 2019",4,82,70
Michael Chapman,True North,"February 8, 2019",6,82,67
Pelican,Nighttime Stories,"June 7, 2019",23,82,75
Vampire Weekend,Father of the Bride,"May 3, 2019",18,82,76
Anderson .Paak,Ventura,"April 12, 2019",15,82,83
Bob Mould,Sunshine Rock,"February 8, 2019",6,82,74
Cave In,Final Transmission,"June 7, 2019",23,82,70
Deerhunter,Why Hasn't Everything Already Disappeared?,"January 18, 2019",3,82,76
Ada Lea,What We Say in Private,"July 19, 2019",29,82,0
2 Chainz,Rap Or Go To The League,"March 1, 2019",9,82,73
La Dispute,Panorama,"March 22, 2019",12,82,80
Robert Forster,Inferno,"March 1, 2019",9,82,0
Shannon Lay,August,"August 23, 2019",34,82,0
Holly Herndon,PROTO,"May 10, 2019",19,82,79
Black Midi,Schlagenheim,"June 21, 2019",25,82,83
Bruce Hornsby,Absolute Zero,"April 12, 2019",15,82,0
Durand Jones & the Indications,American Love Call,"March 1, 2019",9,82,85
Chelsea Wolfe,Birth of Violence,"September 13, 2019",37,82,76
Miranda Lambert,Wildcard,"November 1, 2019",44,82,85
Rian Treanor,ATAXIA,"March 15, 2019",11,82,0
The Raconteurs,Help Us Stranger,"June 21, 2019",25,81,81
